year,area,production
2017,150865.6,3701014
2005,829550.0,856096
2014,495113.0,1690109
2018,131.0,0
1999,274540.0,408464
2002,152000.0,310000
2008,1161.0,672
2000,6500.0,3000
2004,442.0,459
1999,2833.0,21648
2017,299336.0,640196
2017,29630.0,2125489
2006,660.0,790
2009,2534.0,652
2000,53767.0,21335
2013,10499.0,4366
2001,148934.0,44552
2007,8230.0,13198
1999,300300.0,87500
2005,1157.0,605
2011,104210.0,6348078
2017,4325.0,15281
2016,47594.0,33556
2012,344424.0,64262
1999,610.0,346
1997,34504.0,50025
2003,21736.0,11721
2010,175500.0,199800
2000,34.0,9
2014,1814.0,1871
2011,20712.0,26160
2000,6493.0,5200
2008,244993.0,373167
2017,244125.0,712600
2015,52885.0,1424267
2015,374.0,186
2000,125.0,276
2014,240.0,230
2003,900700.0,1234300
2019,114600.0,410500
2001,3760.0,6069
1998,14724.0,9690
2010,56.0,0
2008,351030.0,423753
2015,586.0,9536
2016,54784.0,138942
2007,674.0,674
2011,535850.0,747700
2010,225361.0,156170
2013,472192.0,311424
2003,862.0,1540
2008,343.0,120
1997,423121.0,751970
2011,17670.0,22123
2000,69.0,10
2011,60680.0,30545
2011,35968.0,31292
2018,540.0,580
2016,9014.0,4071
2018,1618.0,938
2002,187000.0,92700
2018,1694220.0,1396800
2009,29.0,15
2015,1542.0,51270
2016,19602.0,23665
2006,9923.0,31208
2007,241.0,137
2006,2051.0,647
2016,10612.0,4166
2012,1228263.0,4065052
2019,5670.0,16050
2008,99375.0,139844
2013,16171.0,3838
2015,65109.0,30601
2003,259815.0,504797
2009,2666.0,2314
1999,8904.0,4582
2009,3413000.0,5581000
1997,700700.0,416300
2013,616.0,6049
2019,14952.0,6011
2018,2379.0,2219
2008,608.0,492
2011,167796.0,141687
2013,2540.0,3072
2011,114511.0,160034
2000,435355.0,180709
2014,320.0,300
1997,967.0,761
2010,99759.0,82155
2014,21395.0,20856
2010,81180.0,66838
1999,26715.0,7518
2010,48782.0,13995
2016,142.0,118
2004,71.0,191
1999,1887.0,497
2011,1621.0,1212
2017,193338.0,219087
2002,4987.0,3418
2013,244100.0,295850
2019,4480.0,26455
2001,776000.0,1077400
2005,79366.0,112139
2006,46723.0,36491
2004,1605390.0,1248565
2016,999370.0,2757755
2016,2762.0,1381
2019,1761556.0,462639
2019,96.0,50
2015,525.0,716
2015,31216.0,137979
1998,65309.0,70294
2016,3812.0,4616
2006,742300.0,528400
2012,51.0,102
2007,158487.0,126134
2015,951.0,636
2016,5.0,2
1999,821996.0,778932
2013,1088.0,3344
2012,1528100.0,3001640
2015,5105.0,4283
2015,8740.0,9810
1998,48.0,16
2015,114092.0,101143
2001,439578.0,336547
2002,9316.0,15398
1997,948.0,450
2006,327100.0,588800
2016,256.0,51
2015,1039.0,330
2005,94.0,82
2008,386.0,4827
2011,462.0,247
2018,83743.0,128477
2012,121782.0,33048
2015,16013.0,154375
2009,1773.0,514
2016,6643.0,6934
2012,29608.0,13324
2014,6993.0,94222
2012,294.0,307
2000,19850.0,5000
2000,6478.0,4382
2002,823.0,1474
